"business_name","telephone","email","website","Address","State-Zip"
"Perry's Boat Harbor","(916) 777-5000","","http://www.perrysboatharbor.com","500 Brannan Island Rd","Isleton, CA 95641"
"Pacific Built","(530) 583-3447","","","","Tahoe City, CA 96145"
"Chula  Vista RV Resort & Marina","(619) 754-4067","boatslips@cvmarina.com","http://www.cvmarina.com","550 Marina Pkwy","Chula Vista, CA 91910"
"Swift Slip Dock & Pier Builders Inc.","(949) 258-9579","info@swiftslipdocks.com","http://www.swifslipdocks.com","",""
"Chula Vista Marina","(619) 754-4067","","http://www.cvmarina.com","550 Marina Pkwy","Chula Vista, CA 91910"
"Sierra Boat Co","(530) 546-2551","service@sierraboat.com","http://www.sierraboat.com","5146 N Lake Blvd","Carnelian Bay, CA 96140"
"The Dock Club @ Pine Knot","(909) 866-8129","","http://www.pineknotlanding.com","439 Pine Knot Blvd","Big Bear Lake, CA 92315"
"Morro Bay Landing","(805) 771-5500","info@thelandingmb.com","http://morrobaylanding.com","1213 Embarcadero","Morro Bay, CA 93442"
"Southshore Marine","(714) 848-1776","","http://www.southshoredocks.com","16462 Gothard St","Huntington Beach, CA 92647"
"Santa Barbara Fuel Dock","(805) 962-7186","","","125 Harbor Way","Santa Barbara, CA 93109"
"The Dock Company","(714) 843-6798","","","16033 Bolsa Chica St Ste 104-131","Huntington Beach, CA 92649"
"Transpac Terminal Services","(562) 435-1982","","","785 Edison Ave","Long Beach, CA 90813"
"San Diego Ghost Hunt","(619) 316-0858","david@scparanormal.com","http://sandiegoghosthunt.com","",""
"E S A Industries Inc","(626) 965-2536","doug@esadocks.com","http://www.esadocks.com","19052 San Jose Ave","Rowland Heights, CA 91748"
"Bluewater Marine","(619) 449-2007","info@BlueWaterDocks.com","http://www.bluewaterdocks.com","10520 Kenney St","Santee, CA 92071"
"Mountain Metalworks","(909) 273-3238","kris@mountain-metalworks.com","","Po Box 3247","Big Bear City, CA 92314"
"Seaworld Marina","(619) 226-3910","SeaWorldMarina@SeaWorld.com","http://seaworld.com","1660 S Shores Rd","San Diego, CA 92109"
"Harbor Biosciences Inc","(858) 587-9333","","http://www.harbortx.com","9191 Towne Centre Dr","San Diego, CA 92122"
"Shelter Island Marina","(619) 223-0301","humynatt@aol.com","http://www.islandpalms.com","2071 Shelter Island Dr","San Diego, CA 92106"
"M J S Dock Service","(909) 337-1133","Scorziell@aol.com","http://www.lakearrowheadbuilder.com","","Lake Arrowhead, CA 92352"
"United Door Service","(909) 379-3149","","http://uniteddoorservice.net","","Chino Hills, CA 91709"
"Beery-Marine Construction","(707) 998-9389","beery.marine.const@mchsi.com","","","Glenhaven, CA 95443"
"Big Bear Marine Center","(909) 585-5600","tom.bbp@gmail.com","http://bigbeargrizzly.net","614 W Fairway Blvd","Big Bear City, CA 92314"
"Vitran Supply Chain USA Inc","(909) 829-5635","","http://legacyscs.com","9421 Transportation Way","Fontana, CA 92335"
"Salsa Latina Catering","(714) 848-1776","Cisco@SouthShore-Marine.com","http://www.southshoredocks.com","16467 Gothard St Ste H","Huntington Beach, CA 92647"
"All Access Doors, Inc.","(714) 290-7628","","http://www.allaccessdoors.com","1885 W Commonwealth Ave Ste P","Fullerton, CA 92833"
"South Shore Marine Inc","(562) 592-1357","","https://www.comfortkeepers.com","4952 Warner Ave","Huntington Beach, CA 92649"
"TRINITY CONSTRUCTION - LAKE & DOCK","(909) 337-4262","dave@trinityconstruction.us","","29115 Grizzy Rd","Lake Arrowhead, CA 92352"
"International Long Shore and Warehouse Union","(619) 477-4593","","https://www.unionfacts.com","1000 Bay Marina Dr","National City, CA 91950"
"Muelles y Plataformas Flotantes PCM Docks","(805) 308-2003","","http://docks.cl","2175 Goodyear ave, # 106","Ventura, CA 93003"
"business_name","telephone","email","website","Address","State-Zip"
"The Dock Club @ Pine Knot","(909) 866-8129","","http://www.pineknotlanding.com","439 Pine Knot Blvd","Big Bear Lake, CA 92315"
"Morro Bay Landing","(805) 771-5500","info@thelandingmb.com","http://morrobaylanding.com","1213 Embarcadero","Morro Bay, CA 93442"
"Southshore Marine","(714) 848-1776","","http://www.southshoredocks.com","16462 Gothard St","Huntington Beach, CA 92647"
"Santa Barbara Fuel Dock","(805) 962-7186","","","125 Harbor Way","Santa Barbara, CA 93109"
"The Dock Company","(714) 843-6798","","","16033 Bolsa Chica St Ste 104-131","Huntington Beach, CA 92649"
"Transpac Terminal Services","(562) 435-1982","","","785 Edison Ave","Long Beach, CA 90813"
"E S A Industries Inc","(626) 965-2536","doug@esadocks.com","http://www.esadocks.com","19052 San Jose Ave","Rowland Heights, CA 91748"
"Bluewater Marine","(619) 449-2007","info@BlueWaterDocks.com","http://www.bluewaterdocks.com","10520 Kenney St","Santee, CA 92071"
