"business_name","telephone","email","website","Address","State-Zip"
"Lone Star Docks","(512) 266-8820","chad@lonestardocks.com","http://www.lonestardocks.com","4805 Doss Rd","Austin, TX 78734"
"Dependable Dock","(512) 267-0056","","http://www.dependabledocks.com","18639 Fm 1431","Jonestown, TX 78645"
"Chapman Construction","(325) 388-6545","chapman@chapmandocks.com","http://www.chapmandocks.com","3010 W Ranch Road 1431","Kingsland, TX 78639"
"M & R Marine Construction, Inc.","(903) 588-2140","","http://mandrconstruct.com","4586 Farm Road 115","Mount Vernon, TX 75457"
"El Paso Door Co","(915) 599-8888","epsd@elpasodoor.com","","1147 Larry Mahan Dr Ste A","El Paso, TX 79925"
"Newton Welding","(325) 642-2961","","http://newtonweldingtx.com","5815 Highway 279","Brownwood, TX 76801"
"2018 Here Larger Map Port Isabel-SN Benito Navigation Dist","(956) 943-7826","steve@pisbnd.com","http://pisbnd.com","250 Industrial Dr","Port Isabel, TX 78578"
"Dock Floats LTD","(512) 266-6035","john@dockfloatsltd.com","https://www.dockfloatsltd.com","5115 Hudson Bend Rd","Austin, TX 78734"
"Jim's Dock Service and Repair","(469) 371-6907","","","819 W Mason St","Mabank, TX 75147"
"Ez Dock Of Texas","(817) 684-0202","webinfo@ezdocktexas.com","http://www.ezdocktexas.com","3500 Raider Dr","Hurst, TX 76053"
"Commanders Point","(512) 266-2333","","http://commanderspointmarina.com","4521 Commanders Point Dr","Austin, TX 78734"
"AAA Boat Docks","(936) 588-3555","","http://www.docksidelifts.com","800 Mccaleb Rd","Montgomery, TX 77316"
"Luna De Noche Harbor","(972) 722-0253","","http://www.lunadenochetexmex.com","2095 Summer Lee Dr","Rockwall, TX 75032"
"Lewisville Boat Storage","(972) 436-5531","lewisville@northtexasstorage.com","http://www.lewisvilleboatstorage.com","1708 N Stemmons Fwy","Lewisville, TX 75067"
"MAT Construction Co. Inc.","(956) 548-1278","matconstruction@optonline.net","http://www.matconstructioninc.com","284 N Camino Del Rey","Brownsville, TX 78520"
"The Miner Corporation - Houston","(713) 263-1000","","http://minercorp.com","8329 Kempwood Drive","Houston, TX 77055"
"Precision Dock & Door","(972) 382-3008","precisiondockanddoor@live.com","","704 N Preston Rd","Celina, TX 75009"
"Rubens Foundation Repair","(281) 860-2715","rubensfoundation1@gmail.com","http://rubensfoundationrepairtx.com","2517 Raspberry Ln","Pasadena, TX 77502"
"Cedar Mills Marina & Resort","(903) 523-4222","marina@cedarmills.com","http://www.cedarmills.com","500 Harbour View Rd","Gordonville, TX 76245"
"Artex Overhead Door","(817) 472-9198","","http://www.artexoverheaddoor.com/","1114 W Harris Rd Ste 100","Arlington, TX 76001"
"Artex Overhead Door","(972) 641-2060","","http://www.artexoverheaddoor.com","",""
"Miner Corporation The","(972) 373-8700","","http://minercorp.com","1225 Capital Dr","Carrollton, TX 75006"
"Blakely Rocks","(830) 914-3300","","http://www.blakelyrocks.com","","New Braunfels, TX 78130"
"L & W Lafour & Sons Construction Co Inc","(936) 967-8301","la4andsons@yahoo.com","","183 Lafour","Livingston, TX 77351"
"Mc Dock Svc Inc","(512) 689-0822","mcdockservice@austin.rr.com","http://www.mcdockservice.com","",""
"Artex Overhead Door Company","(972) 641-2060","Office@artexoverheaddoor.com","http://artexoverheaddoor.com","",""
"Sel Services","(281) 488-2456","","","12430 Highway 3","Webster, TX 77598"
"BlackFin Yacht Lifts","(832) 327-9330","","","","Corpus Christi, TX 78401"
"South Texas Fence and Deck Restoration","(361) 582-0940","phillip.johns@hotmail.com","","","Victoria, TX 77901"
"Texas Bulkhead & Construction, LLC","(866) 839-2855","","http://www.texasbulkhead.com","Greater Lake Conroe Area","Conroe, TX 77301"
"business_name","telephone","email","website","Address","State-Zip"
"Lone Star Docks","(512) 266-8820","chad@lonestardocks.com","http://www.lonestardocks.com","4805 Doss Rd","Austin, TX 78734"
"Dependable Dock","(512) 267-0056","","http://www.dependabledocks.com","18639 Fm 1431","Jonestown, TX 78645"
"Chapman Construction","(325) 388-6545","chapman@chapmandocks.com","http://www.chapmandocks.com","3010 W Ranch Road 1431","Kingsland, TX 78639"
"M & R Marine Construction, Inc.","(903) 588-2140","","http://mandrconstruct.com","4586 Farm Road 115","Mount Vernon, TX 75457"
"El Paso Door Co","(915) 599-8888","epsd@elpasodoor.com","","1147 Larry Mahan Dr Ste A","El Paso, TX 79925"
"Newton Welding","(325) 642-2961","","http://newtonweldingtx.com","5815 Highway 279","Brownwood, TX 76801"
"2018 Here Larger Map Port Isabel-SN Benito Navigation Dist","(956) 943-7826","steve@pisbnd.com","http://pisbnd.com","250 Industrial Dr","Port Isabel, TX 78578"
"Dock Floats LTD","(512) 266-6035","john@dockfloatsltd.com","https://www.dockfloatsltd.com","5115 Hudson Bend Rd","Austin, TX 78734"
"Jim's Dock Service and Repair","(469) 371-6907","","","819 W Mason St","Mabank, TX 75147"
"Ez Dock Of Texas","(817) 684-0202","webinfo@ezdocktexas.com","http://www.ezdocktexas.com","3500 Raider Dr","Hurst, TX 76053"
"Commanders Point","(512) 266-2333","","http://commanderspointmarina.com","4521 Commanders Point Dr","Austin, TX 78734"
"AAA Boat Docks","(936) 588-3555","","http://www.docksidelifts.com","800 Mccaleb Rd","Montgomery, TX 77316"
"Luna De Noche Harbor","(972) 722-0253","","http://www.lunadenochetexmex.com","2095 Summer Lee Dr","Rockwall, TX 75032"
"Lewisville Boat Storage","(972) 436-5531","lewisville@northtexasstorage.com","http://www.lewisvilleboatstorage.com","1708 N Stemmons Fwy","Lewisville, TX 75067"
"MAT Construction Co. Inc.","(956) 548-1278","matconstruction@optonline.net","http://www.matconstructioninc.com","284 N Camino Del Rey","Brownsville, TX 78520"
"The Miner Corporation - Houston","(713) 263-1000","","http://minercorp.com","8329 Kempwood Drive","Houston, TX 77055"
"Precision Dock & Door","(972) 382-3008","precisiondockanddoor@live.com","","704 N Preston Rd","Celina, TX 75009"
"Rubens Foundation Repair","(281) 860-2715","rubensfoundation1@gmail.com","http://rubensfoundationrepairtx.com","2517 Raspberry Ln","Pasadena, TX 77502"
"Cedar Mills Marina & Resort","(903) 523-4222","marina@cedarmills.com","http://www.cedarmills.com","500 Harbour View Rd","Gordonville, TX 76245"
"Artex Overhead Door","(817) 472-9198","","http://www.artexoverheaddoor.com/","1114 W Harris Rd Ste 100","Arlington, TX 76001"
"Artex Overhead Door","(972) 641-2060","","http://www.artexoverheaddoor.com","",""
"Miner Corporation The","(972) 373-8700","","http://minercorp.com","1225 Capital Dr","Carrollton, TX 75006"
"Blakely Rocks","(830) 914-3300","","http://www.blakelyrocks.com","","New Braunfels, TX 78130"
"L & W Lafour & Sons Construction Co Inc","(936) 967-8301","la4andsons@yahoo.com","","183 Lafour","Livingston, TX 77351"
"Mc Dock Svc Inc","(512) 689-0822","mcdockservice@austin.rr.com","http://www.mcdockservice.com","",""
"Artex Overhead Door Company","(972) 641-2060","Office@artexoverheaddoor.com","http://artexoverheaddoor.com","",""
"Sel Services","(281) 488-2456","","","12430 Highway 3","Webster, TX 77598"
"BlackFin Yacht Lifts","(832) 327-9330","","","","Corpus Christi, TX 78401"
"South Texas Fence and Deck Restoration","(361) 582-0940","phillip.johns@hotmail.com","","","Victoria, TX 77901"
"Texas Bulkhead & Construction, LLC","(866) 839-2855","","http://www.texasbulkhead.com","Greater Lake Conroe Area","Conroe, TX 77301"
"business_name","telephone","email","website","Address","State-Zip"
"Ports America","(832) 615-7200","","","8222 Manchester St","Houston, TX 77012"
"Lander Marine Construction","(903) 451-4728","doug@landermarineconstruction.com","","12920 State Highway 198","Mabank, TX 75156"
"Paradise Point Fishing Dock","(325) 379-2222","ransom78672@gmail.com","http://www.rickransom.com","1001 Lakeshore Loop","Tow, TX 78672"
"Miner Central Texas","(210) 655-8600","","http://minercorp.com","11827 Tech Com Rd Ste 115","San Antonio, TX 78233"
"Overhead Door Company of El Paso","(915) 544-3562","","http://overheaddoorelpaso.com","8370 Burnham Rd Ste 400","El Paso, TX 79907"
"Miner Fleet Management Group","(210) 892-1001","cgalvan@minercorp.com","http://www.minerfleetmanagement.com","17319 San Pedro Ave Ste 500","San Antonio, TX 78232"
"Kace International Corporation","(972) 398-1911","Sue@hetzelmeade.com","http://www.kace.com","1410 Summit Ave Ste 5","Plano, TX 75074"
"Rubens Foundation Repair","(281) 860-2715","rubensfoundation1@gmail.com","http://rubensfoundationrepairtx.com","2517 Raspberry Ln","Pasadena, TX 77502"
"Cedar Mills Marina & Resort","(903) 523-4222","marina@cedarmills.com","http://www.cedarmills.com","500 Harbour View Rd","Gordonville, TX 76245"
"Artex Overhead Door","(817) 472-9198","","http://www.artexoverheaddoor.com/","1114 W Harris Rd Ste 100","Arlington, TX 76001"
"Artex Overhead Door","(972) 641-2060","","http://www.artexoverheaddoor.com","",""
"Miner Corporation The","(972) 373-8700","","http://minercorp.com","1225 Capital Dr","Carrollton, TX 75006"
"Blakely Rocks","(830) 914-3300","","http://www.blakelyrocks.com","","New Braunfels, TX 78130"
"L & W Lafour & Sons Construction Co Inc","(936) 967-8301","la4andsons@yahoo.com","","183 Lafour","Livingston, TX 77351"
